SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2960 Eastlake Ave E #404,Seattle,WA,98102,438000,1,1.0,Eastlake,702.0,,2008.0,1,624.0,308.0,Active,,,http://www.redfin.com/WA/Seattle/2960-Eastlake-Ave-E-98102/unit-404/home/21743100,NWMLS,1239708,N,Y,47.648332548,-122.3232847
MLS Listing,,Single Family Residential,13314 23rd Ave NE,Seattle,WA,98125,750000,3,2.25,Olympic Hills,2460.0,8100.0,1958.0,1,305.0,,Active,January-31-2018 12:30 PM,January-31-2018 03:00 PM,http://www.redfin.com/WA/Seattle/13314-23rd-Ave-NE-98125/home/114713,NWMLS,1234207,N,Y,47.7250968,-122.3042222
MLS Listing,,Single Family Residential,10217 8th Ave SW,Seattle,WA,98146,699990,4,3.0,Burien,2930.0,7620.0,2016.0,1,239.0,,Active,February-3-2018 12:00 PM,February-3-2018 03:00 PM,http://www.redfin.com/WA/Seattle/10217-8th-Ave-SW-98146/home/22461533,NWMLS,1239703,N,Y,47.511342,-122.345394
MLS Listing,,Condo/Co-op,130 NE 95th Unit A107,Seattle,WA,98115,420000,3,2.0,Maple Leaf,1054.0,53157.0,1990.0,1,398.0,445.0,Active,,,http://www.redfin.com/WA/Seattle/130-NE-95th-St-98115/unit-A107/home/144792287,NWMLS,1235806,N,Y,47.6981017,-122.3268536
MLS Listing,,Single Family Residential,5511 5th Ave NE,Seattle,WA,98105,549500,2,1.0,Green Lake,1650.0,2700.0,1941.0,1,333.0,,Active,February-3-2018 12:00 PM,February-3-2018 03:00 PM,http://www.redfin.com/WA/Seattle/5511-5th-Ave-NE-98105/home/304456,NWMLS,1225056,N,Y,47.6690381,-122.3231052
MLS Listing,,Single Family Residential,4754 35th Ave NE,Seattle,WA,98105,719950,3,1.75,Bryant,2000.0,4128.0,1945.0,1,360.0,,Active,January-31-2018 11:00 AM,January-31-2018 01:00 PM,http://www.redfin.com/WA/Seattle/4754-35th-Ave-NE-98105/home/313514,NWMLS,1239467,N,Y,47.664208,-122.289883
MLS Listing,,Single Family Residential,645 NW 79th St,Seattle,WA,98117,989888,3,2.5,Greenwood,1840.0,3399.0,1932.0,1,538.0,,Active,February-3-2018 02:30 PM,February-3-2018 05:00 PM,http://www.redfin.com/WA/Seattle/645-NW-79th-St-98117/home/495069,NWMLS,1238239,N,Y,47.6860279,-122.3653243
MLS Listing,,Condo/Co-op,413 NE 70th St #324,Seattle,WA,98115,522000,1,1.0,Green Lake,742.0,,2007.0,1,704.0,427.0,Active,February-3-2018 12:00 PM,February-3-2018 03:00 PM,http://www.redfin.com/WA/Seattle/413-NE-70th-St-98115/unit-324/home/17383052,NWMLS,1239254,N,Y,47.6790352,-122.3238836
MLS Listing,,Single Family Residential,308 NW 79th St,Seattle,WA,98117,775000,3,1.75,Ballard,1920.0,3860.0,1920.0,1,404.0,,Active,January-31-2018 12:00 PM,January-31-2018 02:00 PM,http://www.redfin.com/WA/Seattle/308-NW-79th-St-98117/home/498544,NWMLS,1238808,N,Y,47.6863975,-122.3611606
MLS Listing,,Single Family Residential,7725 35th Ave SW,Seattle,WA,98126,574950,3,2.5,West Seattle,1580.0,6536.0,1948.0,1,364.0,,Active,,,http://www.redfin.com/WA/Seattle/7725-35th-Ave-SW-98126/home/470119,NWMLS,1238986,N,Y,47.5325805,-122.3769542
MLS Listing,,Single Family Residential,1516 31st Ave,Seattle,WA,98122,865555,2,1.75,Madrona,1840.0,5000.0,1961.0,1,470.0,,Active,February-3-2018 01:00 PM,February-3-2018 04:00 PM,http://www.redfin.com/WA/Seattle/1516-31st-Ave-98122/home/148349,NWMLS,1236361,N,Y,47.6146442,-122.2921172
MLS Listing,,Townhouse,4725 35th Ave S,Seattle,WA,98118,789000,3,2.5,Columbia City,1768.0,2089.0,2017.0,1,446.0,,Active,,,http://www.redfin.com/WA/Seattle/4725-35th-Ave-S-98118/home/143320706,NWMLS,1239536,N,Y,47.5597465,-122.2888217
MLS Listing,,Condo/Co-op,200 17th Ave E #307,Seattle,WA,98112,500000,1,1.0,Capitol Hill,763.0,9599.0,1929.0,1,655.0,551.0,Active,February-1-2018 12:00 PM,February-1-2018 02:00 PM,http://www.redfin.com/WA/Seattle/200-17th-Ave-E-98112/unit-307/home/2079090,NWMLS,1239477,N,Y,47.6197897,-122.3098493
MLS Listing,,Townhouse,2615 E John St,Seattle,WA,98112,895000,2,2.5,Madison Valley,1452.0,1021.0,2018.0,1,616.0,,Active,,,http://www.redfin.com/WA/Seattle/2615-E-John-St-98112/home/144728668,NWMLS,1239434,N,Y,47.6201977,-122.2980312
MLS Listing,,Condo/Co-op,2415 2nd Ave #440,Seattle,WA,98121,524000,1,1.0,Belltown,549.0,,1994.0,1,954.0,368.0,Active,,,http://www.redfin.com/WA/Seattle/2415-2nd-Ave-98121/unit-440/home/28802,NWMLS,1239123,N,Y,47.6148461,-122.3475339
MLS Listing,,Vacant Land,E Marginal Wy S,Seattle,WA,98108,574500,0,,Georgetown,,3584.0,,1,,,Active,,,http://www.redfin.com/WA/Seattle/E-Marginal-Way-S-98108/home/143797379,NWMLS,1239391,N,Y,47.548078,-122.33391
MLS Listing,,Single Family Residential,9450 15th Ave SW,Seattle,WA,98106,450000,6,2.0,Highland Park,2152.0,2353.0,1925.0,1,209.0,,Active,February-3-2018 12:00 PM,February-3-2018 04:00 PM,http://www.redfin.com/WA/Seattle/9450-15th-Ave-SW-98106/home/475072,NWMLS,1239014,N,Y,47.517727,-122.35354
MLS Listing,,Single Family Residential,834 NE 81st St,Seattle,WA,98115,575000,2,1.0,Maple Leaf,1790.0,3774.0,1926.0,1,321.0,,Active,,,http://www.redfin.com/WA/Seattle/834-NE-81st-St-98115/home/108936,NWMLS,1238943,N,Y,47.6876592,-122.318713
MLS Listing,,Single Family Residential,8851 Stone Ave N,Seattle,WA,98103,528950,3,1.5,Green Lake,1140.0,2015.0,1915.0,1,464.0,,Active,February-3-2018 01:00 PM,February-3-2018 03:00 PM,http://www.redfin.com/WA/Seattle/8851-Stone-Ave-N-98103/home/105402,NWMLS,1238199,N,Y,47.6938881,-122.3419046
MLS Listing,,Single Family Residential,2000 28 Ave S,Seattle,WA,98144,827000,3,2.25,Mt Baker,1470.0,6000.0,1984.0,1,563.0,,Active,,,http://www.redfin.com/WA/Seattle/2000-28th-Ave-S-98144/home/170943,NWMLS,1229197,N,Y,47.5853007,-122.2961375
MLS Listing,,Townhouse,9135 23rd Ave NE Unit B,Seattle,WA,98115,765000,3,3.5,Wedgwood,2004.0,2520.0,2005.0,1,382.0,,Active,February-3-2018 01:00 PM,February-3-2018 04:00 PM,http://www.redfin.com/WA/Seattle/9135-23rd-Ave-NE-98115/unit-B/home/109471687,NWMLS,1229058,N,Y,47.695388,-122.3048797
MLS Listing,,Townhouse,13718 Midvale Ave N Unit A,Seattle,WA,98133,524950,3,2.25,Haller Lake,1510.0,1245.0,2007.0,1,348.0,,Active,February-3-2018 12:00 PM,February-3-2018 03:00 PM,http://www.redfin.com/WA/Seattle/13718-Midvale-Ave-N-98133/unit-A/home/18658462,NWMLS,1237969,N,Y,47.729359,-122.343167
MLS Listing,,Single Family Residential,8853 Stone Ave N,Seattle,WA,98103,789950,3,2.75,Green Lake,1670.0,1596.0,2018.0,1,473.0,,Active,February-3-2018 01:00 PM,February-3-2018 03:00 PM,http://www.redfin.com/WA/Seattle/8853-Stone-Ave-N-98103/home/144791116,NWMLS,1238801,N,Y,47.6938025,-122.3413277
MLS Listing,,Single Family Residential,5222 39th Ave NE,Seattle,WA,98105,949950,4,2.5,Bryant,1930.0,4000.0,1926.0,1,492.0,,Active,February-3-2018 01:00 PM,February-3-2018 04:00 PM,http://www.redfin.com/WA/Seattle/5222-39th-Ave-NE-98105/home/314180,NWMLS,1236990,N,Y,47.6676023,-122.2854455
MLS Listing,,Vacant Land,2020 NE 85th St,Seattle,WA,98115,1300000,0,,Maple Leaf,,5940.0,,1,,,Active,,,http://www.redfin.com/WA/Seattle/2020-NE-85th-St-98115/home/2083224,NWMLS,1238898,N,Y,47.6905187,-122.3058626
MLS Listing,,Vacant Land,2024 NE 85th St,Seattle,WA,98115,1500000,0,,Maple Leaf,,5940.0,,1,,,Active,,,http://www.redfin.com/WA/Seattle/2024-NE-85th-St-98115/home/2084833,NWMLS,1239329,N,Y,47.6905198,-122.3056771
MLS Listing,,Vacant Land,2100 2106 NE 85th St,Seattle,WA,98115,2600000,0,,Maple Leaf,,11880.0,,1,,,Active,,,http://www.redfin.com/WA/Seattle/2106-NE-85th-St-98115/home/2086640,NWMLS,1239338,N,Y,47.6905116,-122.3053106
MLS Listing,,Multi-Family (2-4 Unit),13733 35th Ave NE,Seattle,WA,98125,715000,6,3.0,Lake City,2600.0,5400.0,1958.0,1,275.0,,Active,,,http://www.redfin.com/WA/Seattle/13733-35th-Ave-NE-98125/home/111962,NWMLS,1239308,N,Y,47.729281,-122.291281
MLS Listing,,Condo/Co-op,840 NE 125th St #305,Seattle,WA,98125,339950,2,2.0,Pinehurst,857.0,23182.0,1988.0,1,397.0,480.0,Active,,,http://www.redfin.com/WA/Seattle/840-NE-125th-St-98125/unit-305/home/12537588,NWMLS,1238778,N,Y,47.7197022,-122.3187903
MLS Listing,,Single Family Residential,9013 37th Ave SW,Seattle,WA,98126,950000,4,2.5,Gatewood,2460.0,6297.0,1951.0,1,386.0,,Active,February-1-2018 04:00 PM,February-1-2018 06:30 PM,http://www.redfin.com/WA/Seattle/9013-37th-Ave-SW-98126/home/469006,NWMLS,1234596,N,Y,47.522469,-122.3797016
